**** n.s. = 'not selected' ******** n.a. = not above minScore matrix is resorted
/home/zs/git/songFROMP/projects/default.frpPathayScoreMatrix

 	OverAllERR771019_MERGED_FASTQ_InterPro.tsv	ERR771060_MERGED_FASTQ_InterPro.tsv	ERR771064_MERGED_FASTQ_InterPro.tsv	ERR771070_MERGED_FASTQ_InterPro.tsv	
ec00310	Lysine degradation	3.1403200858825926	3.1403200858825926	0.42747812645602057	3.1403200858825926	3.1403200858825926
ec00311	Penicillin and cephalosporin biosynthesis	3.9215686274509802	n.a.	3.9215686274509802	n.a.	3.9215686274509802
ec00312	beta-Lactam resistance	100.0	n.a.	100.0	n.a.	100.0
ec00330	Arginine and proline metabolism	23.369091309641867	16.353852507302097	20.662246756709106	21.88032680287315	22.015669033175485
ec00331	Clavulanic acid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00340	Histidine metabolism	27.63757766388889	10.629837563034188	25.511610151282056	27.63757766388889	27.63757766388889
ec00350	Tyrosine metabolism	6.783003598410506	3.630339953682819	4.872298362589973	5.063368880548219	4.872298362589973
ec00351	DDT degradation	0.0	n.a.	n.a.	n.a.	n.a.
ec00360	Phenylalanine metabolism	2.8311565616993684	0.5551287363066066	1.1657703527795489	1.3878218407665166	2.276027825392762
ec00361	Chlorocyclohexane and chlorobenzene degradation	6.786157880856039	2.714463152342416	2.714463152342416	4.071694728513623	2.714463152342416
ec00362	Benzoate degradation	8.339118073543087	2.2432715327524084	7.363782627016578	8.339118073543087	5.413111733963561
ec00363	Bisphenol degradation	22.09916460844581	22.09916460844581	n.a.	n.a.	n.a.
ec00364	Fluorobenzoate degradation	2.3493386649236956	2.3493386649236956	2.3493386649236956	2.3493386649236956	2.3493386649236956
ec00380	Tryptophan metabolism	9.376517632784397	2.0844890016436244	5.730503317214011	9.376517632784397	9.376517632784397
ec00400	Phenylalanine, tyrosine and tryptophan biosynthesis	54.37185550523523	31.12892490291472	46.07080886445797	49.80627984466354	54.37185550523523
ec00401	Novobiocin biosynthesis	39.560439638634136	n.a.	39.560439638634136	32.96703292438138	39.560439638634136
ec00402	Benzoxazinoid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00410	beta-Alanine metabolism	13.498622581069924	1.588073233048059	12.364284547924987	13.498622581069924	12.364284547924987
ec00430	Taurine and hypotaurine metabolism	23.24561408793271	8.333333362020614	5.7017544508887585	18.859649178671724	23.24561408793271
ec00440	Phosphonate and phosphinate metabolism	0.0	n.a.	n.a.	n.a.	n.a.
ec00450	Selenocompound metabolism	30.31758396737661	20.322776078974595	30.31758396737661	30.31758396737661	30.31758396737661
ec00460	Cyanoamino acid metabolism	5.139257311991706	2.2380636791436483	3.481432378935673	5.139257311991706	5.139257311991706
ec00471	D-Glutamine and D-glutamate metabolism	16.666666666666664	16.666666666666664	16.666666666666664	16.666666666666664	16.666666666666664
ec00472	D-Arginine and D-ornithine metabolism	0.0	n.a.	n.a.	n.a.	n.a.
ec00473	D-Alanine metabolism	31.914893590372884	31.914893590372884	31.914893590372884	31.914893590372884	31.914893590372884
ec00480	Glutathione metabolism	24.606580829756798	19.170243204577968	24.606580829756798	21.17310443490701	21.17310443490701
ec00500	Starch and sucrose metabolism	32.706478002747474	20.365263772648593	13.448759096902629	25.111884630378935	30.80782965965534
ec00510	N-Glycan biosynthesis	13.81957773512476	2.3032629558541267	n.a.	11.516314779270633	11.516314779270633
ec00511	Other glycan degradation	52.87958118087753	37.17277490783671	21.465968634795896	52.87958118087753	29.319371771316305
ec00512	Mucin type O-Glycan biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00513	Various types of N-glycan biosynthesis	9.762900973083928	5.578800556047959	1.3947001390119897	5.578800556047959	5.578800556047959
ec00514	Other types of O-glycan biosynthesis	16.172506733412316	n.a.	n.a.	n.a.	16.172506733412316
ec00520	Amino sugar and nucleotide sugar metabolism	17.407933741324687	7.476134552262435	11.077776018569436	15.87996463531511	17.407933741324687
ec00521	Streptomycin biosynthesis	11.111111101861635	6.868686858428361	5.656565657911035	11.111111101861635	11.111111101861635
ec00522	Biosynthesis of 12-, 14- and 16-membered macrolides	0.0	n.a.	n.a.	n.a.	n.a.
ec00523	Polyketide sugar unit biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00524	Butirosin and neomycin biosynthesis	10.426779261005377	10.426779261005377	5.614419627502905	10.426779261005377	10.426779261005377
ec00531	Glycosaminoglycan degradation	26.33637551153223	18.513689725146275	18.513689725146275	26.33637551153223	26.33637551153223
ec00532	Glycosaminoglycan biosynthesis - chondroitin sulfate	0.0	n.a.	n.a.	n.a.	n.a.
ec00533	Glycosaminoglycan biosynthesis - keratan sulfate	0.0	n.a.	n.a.	n.a.	n.a.
ec00534	Glycosaminoglycan biosynthesis - heparan sulfate	0.0	n.a.	n.a.	n.a.	n.a.
ec00540	Lipopolysaccharide biosynthesis	35.97601597805317	28.78081278244253	35.97601597805317	35.97601597805317	35.97601597805317
ec00550	Peptidoglycan biosynthesis	45.36082474226804	37.11340206185567	37.11340206185567	45.36082474226804	45.36082474226804
ec00561	Glycerolipid metabolism	16.133851208903806	10.755900805935871	13.44487600741984	16.133851208903806	15.237526141742483
ec00562	Inositol phosphate metabolism	14.91442542787286	5.8679706601467	3.1784841075794623	13.93643031784841	13.93643031784841
ec00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	21.238938053097346	n.a.	n.a.	21.238938053097346	21.238938053097346
ec00564	Glycerophospholipid metabolism	25.18579472690188	9.674284204097514	16.736103458815236	24.369399436227962	22.532510032211658
ec00565	Ether lipid metabolism	8.9473195365502	7.274923365174379	1.6723961713758217	7.274923365174379	6.020626236642514
ec00590	Arachidonic acid metabolism	6.75752014076777	6.75752014076777	5.825448381447038	6.75752014076777	6.75752014076777
ec00591	Linoleic acid metabolism	3.037488425580809	3.037488425580809	n.a.	3.037488425580809	3.037488425580809
ec00592	alpha-Linolenic acid metabolism	8.281824750564459	3.680811015297797	0.9202027199688668	8.281824750564459	8.281824750564459
ec00600	Sphingolipid metabolism	22.679859627550766	8.203353494393232	11.822480027682616	22.679859627550766	19.060733094261384
ec00601	Glycosphingolipid biosynthesis - lacto and neolacto series	4.350978968782445	n.a.	4.350978968782445	4.350978968782445	4.350978968782445
ec00603	Glycosphingolipid biosynthesis - globo series	11.23595505077492	5.1072522958067825	11.23595505077492	11.23595505077492	11.23595505077492
ec00604	Glycosphingolipid biosynthesis - ganglio series	6.902562377061098	6.902562377061098	6.902562377061098	6.902562377061098	6.902562377061098
ec00620	Pyruvate metabolism	23.3445027728001	9.931086828091301	15.605993579769864	20.76499970845669	23.3445027728001
ec00621	Dioxin degradation	8.294181489817268	3.6863029245482326	8.294181489817268	8.294181489817268	8.294181489817268
ec00622	Xylene degradation	6.598163534538037	2.9325171584292082	6.598163534538037	6.598163534538037	6.598163534538037
ec00623	Toluene degradation	2.9846651135020617	2.9846651135020617	2.9846651135020617	0.6395711056109424	2.9846651135020617
ec00624	Polycyclic aromatic hydrocarbon degradation	4.411432851323833	2.6468597107943004	2.6468597107943004	4.411432851323833	4.411432851323833
ec00625	Chloroalkane and chloroalkene degradation	12.680110104170488	3.7504551160407296	3.7504551160407296	6.429351612479657	4.643420614853706
ec00626	Naphthalene degradation	1.106835860171205	1.106835860171205	1.106835860171205	1.106835860171205	1.106835860171205
ec00627	Aminobenzoate degradation	6.853876617078465	4.5066585994238135	4.5066585994238135	5.914989410016604	6.853876617078465
ec00630	Glyoxylate and dicarboxylate metabolism	9.195402298850574	3.6398467432950192	7.471264367816093	9.195402298850574	9.195402298850574
ec00633	Nitrotoluene degradation	20.536478224229253	20.536478224229253	10.268239112114626	20.536478224229253	20.536478224229253
ec00640	Propanoate metabolism	15.377513667522337	11.101814739948205	14.252329743861452	15.377513667522337	15.377513667522337
ec00642	Ethylbenzene degradation	0.0	n.a.	n.a.	n.a.	n.a.
ec00643	Styrene degradation	14.312218422011538	8.348794099009215	14.312218422011538	14.312218422011538	14.312218422011538
ec00650	Butanoate metabolism	9.417513076125628	3.0972181387061624	6.708815245803	5.80591596902879	5.80591596902879
ec00660	C5-Branched dibasic acid metabolism	14.545454545454545	10.909090909090908	3.6363636363636362	7.2727272727272725	7.2727272727272725
ec00670	One carbon pool by folate	42.3728813559322	24.858757062146893	38.983050847457626	38.983050847457626	42.3728813559322
ec00680	Methane metabolism	26.130946087351685	17.29619764602745	11.821142297667791	17.10954804602923	20.531457647910162
ec00710	Carbon fixation in photosynthetic organisms	36.98630142067648	18.767123304793163	36.98630142067648	36.16438359699234	36.98630142067648
ec00720	Carbon fixation pathways in prokaryotes	22.468216521763846	10.334218468141959	19.67420381637652	22.468216521763846	22.468216521763846
ec00730	Thiamine metabolism	23.954372618212528	17.110266155866093	20.53231938703931	20.53231938703931	17.110266155866093
ec00740	Riboflavin metabolism	48.86617692006242	20.121366967084526	34.49377194357347	37.36825293887126	48.86617692006242
ec00750	Vitamin B6 metabolism	22.14022140221402	17.712177121771216	22.14022140221402	17.712177121771216	17.712177121771216
ec00760	Nicotinate and nicotinamide metabolism	20.997000424626147	11.141265531434282	8.570204254949447	20.997000424626147	13.283816595171643
ec00770	Pantothenate and CoA biosynthesis	45.92979834082917	30.24645256591189	41.44884240513852	45.92979834082917	45.92979834082917
ec00780	Biotin metabolism	26.47058823529412	17.647058823529413	17.647058823529413	26.47058823529412	17.647058823529413
ec00785	Lipoic acid metabolism	60.0	60.0	30.0	30.0	30.0
ec00790	Folate biosynthesis	41.86046511627907	13.953488372093023	27.906976744186046	34.883720930232556	41.86046511627907
ec00791	Atrazine degradation	3.389830508474576	3.389830508474576	3.389830508474576	3.389830508474576	3.389830508474576
ec00830	Retinol metabolism	0.8388073401103615	0.8388073401103615	0.8388073401103615	0.8388073401103615	0.8388073401103615
ec00860	Porphyrin and chlorophyll metabolism	35.13242446909934	24.667446967665498	20.182456609908133	32.1424308972611	32.1424308972611
ec00900	Terpenoid backbone biosynthesis	27.197802197802197	14.010989010989011	23.076923076923077	27.197802197802197	23.9010989010989
ec00901	Indole alkaloid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00902	Monoterpenoid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00903	Limonene and pinene degradation	0.5371571904434022	0.5371571904434022	0.5371571904434022	0.5371571904434022	0.5371571904434022
ec00904	Diterpenoid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00905	Brassinosteroid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00906	Carotenoid biosynthesis	9.040138605417122	n.a.	n.a.	9.040138605417122	9.040138605417122
ec00908	Zeatin biosynthesis	33.17972350230415	11.059907834101383	22.119815668202765	33.17972350230415	33.17972350230415
ec00909	Sesquiterpenoid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00910	Nitrogen metabolism	25.316455690398104	18.0136319335525	18.0136319335525	19.71762414348314	24.586173314713548
ec00920	Sulfur metabolism	11.027568939807779	3.5087719488056197	8.521303276140392	11.027568939807779	11.027568939807779
ec00930	Caprolactam degradation	1.2818055777676562	1.2818055777676562	1.2818055777676562	1.2818055777676562	1.2818055777676562
ec00940	Phenylpropanoid biosynthesis	1.8492597593747127	n.a.	n.a.	n.a.	1.8492597593747127
ec00941	Flavonoid biosynthesis	6.330735722851204	6.330735722851204	n.a.	6.330735722851204	6.330735722851204
ec00942	Anthocyanin biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00943	Isoflavonoid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00944	Flavone and flavonol biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00950	Isoquinoline alkaloid biosynthesis	1.8141237145103382	1.5774988781454453	0.23662483636489295	0.39437471953636133	0.23662483636489295
ec00960	Tropane, piperidine and pyridine alkaloid biosynthesis	6.807540757681369	0.8957290456757522	5.911811712005616	6.270103319730266	5.911811712005616
ec00965	Betalain biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00966	Glucosinolate biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00970	Aminoacyl-tRNA biosynthesis	59.25925925925925	50.0	50.0	55.55555555555556	55.55555555555556
ec00980	Metabolism of xenobiotics by cytochrome P450	39.75281602906655	39.75281602906655	3.613892430744376	39.75281602906655	39.75281602906655
ec00981	Insect hormone biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
ec00982	Drug metabolism - cytochrome P450	5.528630502786924	5.528630502786924	5.528630502786924	5.528630502786924	5.528630502786924
ec00983	Drug metabolism - other enzymes	49.43026799515156	17.653667141125556	33.54196756813856	49.43026799515156	44.134167852813896
ec01040	Biosynthesis of unsaturated fatty acids	17.597582553188946	1.3035245980447028	1.3035245980447028	17.597582553188946	17.597582553188946
ec01051	Biosynthesis of ansamycins	0.0	n.a.	n.a.	n.a.	n.a.
ec01053	Biosynthesis of siderophore group nonribosomal peptides	0.0	n.a.	n.a.	n.a.	n.a.
ec01055	Biosynthesis of vancomycin group antibiotics	0.0	n.a.	n.a.	n.a.	n.a.
ec01056	Biosynthesis of type II polyketide backbone	0.0	n.a.	n.a.	n.a.	n.a.
ec01057	Biosynthesis of type II polyketide products	0.0	n.a.	n.a.	n.a.	n.a.
ec01058	Acridone alkaloid biosynthesis	0.0	n.a.	n.a.	n.a.	n.a.
-1	Unmatched	NaN	n.a.	n.a.	n.a.	n.a.
Sulfur oxidation	Sulfur oxidation	8.153701988403569	8.153701988403569	6.279287743268948	4.873477059417981	6.747891304552603
test-pathway	test-pathway	23.076923425244384	23.076923425244384	23.076923425244384	23.076923425244384	23.076923425244384
123	123	0.0	n.a.	n.a.	n.a.	n.a.
22	22	0.0	n.a.	n.a.	n.a.	n.a.
Fromp example custom made pathway	Fromp example custom made pathway	10.112359568855153	10.112359568855153	8.383751099025444	7.087294746653162	8.815903216482871
iron-interpro-test	iron-interpro-test	0.0	n.a.	n.a.	n.a.	n.a.
1111	1111	0.0	n.a.	n.a.	n.a.	n.a.
