Pathway	s1.txt	
ec00604-Glycosphingolipid-biosynthesis-ganglio-series	0.0	
ec00620-Pyruvate-metabolism	7.0	
ec00621-Dioxin-degradation	0.0	
ec00622-Xylene-degradation	0.0	
ec00623-Toluene-degradation	2.0	
ec00624-Polycyclic-aromatic-hydrocarbon-degradation	0.0	
ec00625-Chloroalkane-and-chloroalkene-degradation	1.0	
ec00626-Naphthalene-degradation	0.0	
ec00627-Aminobenzoate-degradation	7.0	
ec00630-Glyoxylate-and-dicarboxylate-metabolism	1.0	
ec00633-Nitrotoluene-degradation	0.0	
ec00640-Propanoate-metabolism	7.0	
ec00642-Ethylbenzene-degradation	0.0	
ec00643-Styrene-degradation	2.0	
ec00650-Butanoate-metabolism	3.0	
ec00660-C5-Branched-dibasic-acid-metabolism	2.0	
ec00670-One-carbon-pool-by-folate	4.0	
ec00680-Methane-metabolism	8.0	
ec00710-Carbon-fixation-in-photosynthetic-organisms	6.0	
ec00720-Carbon-fixation-pathways-in-prokaryotes	6.0	
ec00730-Thiamine-metabolism	0.0	
ec00740-Riboflavin-metabolism	4.0	
ec00750-Vitamin-B6-metabolism	2.0	
ec00760-Nicotinate-and-nicotinamide-metabolism	3.0	
ec00770-Pantothenate-and-CoA-biosynthesis	4.0	
ec00780-Biotin-metabolism	1.0	
ec00785-Lipoic-acid-metabolism	1.0	
ec00790-Folate-biosynthesis	3.0	
ec00791-Atrazine-degradation	1.0	
ec00830-Retinol-metabolism	0.0	
ec00860-Porphyrin-and-chlorophyll-metabolism	6.0	
ec00900-Terpenoid-backbone-biosynthesis	6.0	
ec00901-Indole-alkaloid-biosynthesis	0.0	
ec00902-Monoterpenoid-biosynthesis	0.0	
ec00903-Limonene-and-pinene-degradation	3.0	
ec00904-Diterpenoid-biosynthesis	0.0	
ec00905-Brassinosteroid-biosynthesis	0.0	
ec00906-Carotenoid-biosynthesis	0.0	
ec00908-Zeatin-biosynthesis	0.0	
ec00909-Sesquiterpenoid-biosynthesis	0.0	
ec00910-Nitrogen-metabolism	9.0	
ec00920-Sulfur-metabolism	2.0	
ec00930-Caprolactam-degradation	3.0	
ec00940-Phenylpropanoid-biosynthesis	1.0	
ec00941-Flavonoid-biosynthesis	0.0	
ec00942-Anthocyanin-biosynthesis	0.0	
ec00943-Isoflavonoid-biosynthesis	0.0	
ec00944-Flavone-and-flavonol-biosynthesis	0.0	
ec00945-Stilbenoid-diarylheptanoid-and-gingerol-biosynthesis	0.0	
ec00950-Isoquinoline-alkaloid-biosynthesis	2.0	
ec00960-Tropane-piperidine-and-pyridine-alkaloid-biosynthesis	2.0	
ec00965-Betalain-biosynthesis	0.0	
ec00966-Glucosinolate-biosynthesis	0.0	
ec00970-Aminoacyl-tRNA-biosynthesis	10.0	
ec00980-Metabolism-of-xenobiotics-by-cytochrome-P450	0.0	
ec00981-Insect-hormone-biosynthesis	0.0	
ec00982-Drug-metabolism-cytochrome-P450	0.0	
ec00983-Drug-metabolism-other-enzymes	4.0	
ec01040-Biosynthesis-of-unsaturated-fatty-acids	3.0	
ec01051-Biosynthesis-of-ansamycins	0.0	
ec01053-Biosynthesis-of-siderophore-group-nonribosomal-peptides	0.0	
ec01055-Biosynthesis-of-vancomycin-group-antibiotics	0.0	
ec01056-Biosynthesis-of-type-II-polyketide-backbone	0.0	
ec01057-Biosynthesis-of-type-II-polyketide-products	0.0	
ec01058-Acridone-alkaloid-biosynthesis	0.0	
-1-Unmatched	12.0	
