Pathway	EC	s1.txt	
Lipoic-acid-metabolism	2.3.1.181 *	1.0	
Arginine-and-proline-metabolism	2.3.1.35 *	1.0	
Pyruvate-metabolism	2.3.3.9	1.0	
Peptidoglycan-biosynthesis	2.4.1.227 *	1.0	
Starch-and-sucrose-metabolism	2.4.1.25 *	1.0	
Cysteine-and-methionine-metabolism	2.5.1.16	1.0	
Porphyrin-and-chlorophyll-metabolism	2.5.1.17 *	1.0	
Lipopolysaccharide-biosynthesis	2.5.1.55 *	3.0	
Cysteine-and-methionine-metabolism	2.5.1.6 *	1.0	
Riboflavin-metabolism	2.5.1.9 *	2.0	
Alanine-aspartate-and-glutamate-metabolism	2.6.1.1	1.0	
Vitamin-B6-metabolism	2.6.99.2 *	1.0	
Porphyrin-and-chlorophyll-metabolism	2.7.1.156 *	1.0	
Pantothenate-and-CoA-biosynthesis	2.7.1.24 *	1.0	
Pantothenate-and-CoA-biosynthesis	2.7.1.33 *	1.0	
Glycolysis-Gluconeogenesis	2.7.1.40	1.0	
Purine-metabolism	2.7.4.6	1.0	
Nicotinate-and-nicotinamide-metabolism	2.7.7.18 *	1.0	
Purine-metabolism	2.7.7.6	4.0	
Terpenoid-backbone-biosynthesis	2.7.7.60 *	1.0	
Purine-metabolism	2.7.7.7	1.0	
Pantothenate-and-CoA-biosynthesis	2.7.8.7 *	1.0	
Selenocompound-metabolism	2.7.9.3 *	1.0	
Glycerophospholipid-metabolism	3.1.1.4	2.0	
Glycolysis-Gluconeogenesis	3.1.3.11	1.0	
Inositol-phosphate-metabolism	3.1.3.8 *	1.0	
Purine-metabolism	3.1.4.17 *	1.0	
Glutathione-metabolism	3.4.11.1 *	1.0	
Arginine-and-proline-metabolism	3.4.11.5 *	1.0	
Riboflavin-metabolism	3.5.1.102 *	1.0	
Purine-metabolism	3.5.1.5	1.0	
Purine-metabolism	3.5.4.10 *	1.0	
Pyrimidine-metabolism	3.5.4.13 *	1.0	
Folate-biosynthesis	3.5.4.16 *	2.0	
Pyrimidine-metabolism	3.6.1.23 *	1.0	
Oxidative-phosphorylation	3.6.3.14	5.0	
Pyrimidine-metabolism	4.1.1.23 *	1.0	
Arginine-and-proline-metabolism	4.1.1.3	2.0	
Phenylalanine-tyrosine-and-tryptophan-biosynthesis	4.1.1.48 *	1.0	
Glycolysis-Gluconeogenesis	4.1.1.49	1.0	
Cysteine-and-methionine-metabolism	4.1.1.50	1.0	
Glycerophospholipid-metabolism	4.1.1.65 *	1.0	
Phenylalanine-tyrosine-and-tryptophan-biosynthesis	4.1.3.27 *	2.0	
Riboflavin-metabolism	4.1.99.12 *	1.0	
Fatty-acid-elongation-in-mitochondria	4.2.1.17	3.0	
Citrate-cycle-TCA-cycle-	4.2.1.2	1.0	
Glycine-serine-and-threonine-metabolism	4.2.1.20	2.0	
Porphyrin-and-chlorophyll-metabolism	4.2.1.24 *	1.0	
Valine-leucine-and-isoleucine-biosynthesis	4.2.1.33 *	5.0	
Phenylalanine-tyrosine-and-tryptophan-biosynthesis	4.2.1.51 *	2.0	
Fluorobenzoate-degradation	4.2.1.84	2.0	
Glycerophospholipid-metabolism	4.3.1.7 *	1.0	
Terpenoid-backbone-biosynthesis	4.6.1.12 *	1.0	
Porphyrin-and-chlorophyll-metabolism	4.99.1.3 *	1.0	
Porphyrin-and-chlorophyll-metabolism	4.99.1.4 *	1.0	
D-Alanine-metabolism	5.1.1.1 *	1.0	
Glycolysis-Gluconeogenesis	5.3.1.1	1.0	
Histidine-metabolism	5.3.1.16 *	1.0	
Cysteine-and-methionine-metabolism	5.3.1.23 *	1.0	
Pentose-phosphate-pathway	5.3.1.6	1.0	
Glycolysis-Gluconeogenesis	5.3.1.9	2.0	
Amino-sugar-and-nucleotide-sugar-metabolism	5.4.2.10 *	1.0	
Phenylalanine-tyrosine-and-tryptophan-biosynthesis	5.4.99.5 *	1.0	
Aminoacyl-tRNA-biosynthesis	6.1.1.14 *	3.0	
Aminoacyl-tRNA-biosynthesis	6.1.1.15 *	1.0	
Aminoacyl-tRNA-biosynthesis	6.1.1.20 *	2.0	
Glycolysis-Gluconeogenesis	6.2.1.1	1.0	
Citrate-cycle-TCA-cycle-	6.2.1.5	2.0	
Alanine-aspartate-and-glutamate-metabolism	6.3.1.2	7.0	
beta-Alanine-metabolism	6.3.2.1	1.0	
Biotin-metabolism	6.3.3.3 *	1.0	
Fatty-acid-biosynthesis	6.3.4.14 *	1.0	
Purine-metabolism	6.3.4.18 *	1.0	
Alanine-aspartate-and-glutamate-metabolism	6.3.4.5	1.0	
Purine-metabolism	6.3.5.2	1.0	
Pyrimidine-metabolism	6.3.5.5	1.0	
Aminoacyl-tRNA-biosynthesis	6.3.5.7 *	4.0	
unmapped	1.5.5.2 #	1.0	
unmapped	1.7.1.13 #	1.0	
unmapped	1.7.1.15 #	2.0	
unmapped	2.1.1.197 #	1.0	
unmapped	2.1.1.222 #	1.0	
unmapped	2.7.10.1 #	1.0	
unmapped	2.7.7.70 #	1.0	
unmapped	4.1.99.18 #	2.0	
unmapped	4.2.1.59 #	1.0	
unmapped	5.4.2.12 #	1.0	
